,name,handle,x,y,bestFitY,r2
239,Scott RICKARD,Rickard_Scott,4498,7579,42243.80742456528,0.194752215670755
240,Scott MORRISON,ScottMorrisonMP,4507,59895,42286.05339828931,0.194752215670755
241,Meryl SWANSON,MerylSwanson,4605,44288,42746.065112173164,0.194752215670755
242,Sussan LEY,sussanley,4689,49316,43140.36086693074,0.194752215670755
243,Kevin HOGAN,KevinHoganMP,4719,53672,43281.18077934417,0.194752215670755
244,Katrina HODGKINSON,KatrinaHoddy,4723,13462,43299.95676766596,0.194752215670755
245,Sharon CLAYDON,SharonClaydon,4747,47137,43412.61269759669,0.194752215670755
246,Chris CREWTHER,ChrisCrewther,4880,38616,44036.914309296204,0.194752215670755
247,Darren CHESTER,DarrenChesterMP,4907,52202,44163.65223046828,0.194752215670755
248,Josh FRYDENBERG,JoshFrydenberg,5042,48928,44797.341836328684,0.194752215670755
249,Anthony BYRNE,AnthonyByrne_MP,5312,48031,46064.72104804948,0.194752215670755
250,Greg HUNT,GregHuntMP,5372,45293,46346.360872876336,0.194752215670755
251,Richard MARLES,RichardMarlesMP,5574,47010,47294.548283126715,0.194752215670755
252,Lucy WICKS,LucyWicksMP,5623,45011,47524.554140068634,0.194752215670755
253,Harkirat SINGH,iHarkiratSingh,5912,6730,48881.11929631794,0.194752215670755
254,Michael McCORMACK,M_McCormackMP,6744,60493,52786.5248672502,0.194752215670755
255,Tony ABBOTT,HonTonyAbbott,6987,35935,53927.16615779892,0.194752215670755
256,Karen ANDREWS,karenandrewsmp,7708,44634,57311.538052801516,0.194752215670755
257,Milton DICK,MiltonDickMP,7855,38501,58001.55562362728,0.194752215670755
258,Ken WYATT,KenWyattMP,8141,36735,59344.03878863525,0.194752215670755
